"gamma","state_code","n","pairs","pres","cohesion","cap6","pct_ceil","eq_min","n_tiny","disp_km"
0.8,"28",43,87,77,88.5057471264368,83.5,92.2155688622754,0.445072743755016,0,12.7287549643442
1,"28",43,87,77,88.5057471264368,83.5,92.2155688622754,0.456055121060911,0,12.321310658799
0,"29",60,154,117,75.974025974026,137.5,85.0909090909091,0.997492997548515,0,12.5043653078222
0.15,"29",60,154,118,76.6233766233766,137.5,85.8181818181818,0.644859938544086,0,10.6349400676384
0.3,"29",60,154,119,77.2727272727273,137.5,86.5454545454545,0.450620856084402,0,8.80558641417977
0.45,"29",60,154,120,77.9220779220779,137.5,87.2727272727273,0.45462884797214,0,7.57622832922311
0.6,"29",60,154,123,79.8701298701299,137.5,89.4545454545455,0.462766270263857,0,6.89647690222645
0.8,"29",60,154,123,79.8701298701299,137.5,89.4545454545455,0.488653672702102,0,6.6646158951492
1,"29",60,154,123,79.8701298701299,137.5,89.4545454545455,0.525135709335166,0,6.7783354985688
0,"30",212,546,396,72.5274725274725,496,79.8387096774194,0.974969579173969,0,76.4498059384775
0.15,"30",212,546,408,74.7252747252747,496,82.258064516129,0.579506719152553,0,65.1196854298523
0.3,"30",212,546,410,75.0915750915751,496,82.6612903225806,0.447990084302195,0,53.6136552392495
0.45,"30",212,546,422,77.2893772893773,496,85.0806451612903,0.446849222495423,0,46.419499240718
0.6,"30",212,546,426,78.021978021978,496,85.8870967741936,0.456853311767618,0,42.8164972914483
0.8,"30",212,546,426,78.021978021978,496,85.8870967741936,0.48319895474709,0,41.7187290278767
1,"30",212,546,429,78.5714285714286,496,86.491935483871,0.519534423987004,0,42.5698358650759
0,"31",106,288,236,81.9444444444444,263.5,89.5635673624288,0.993629086357028,0,31.2133127301052
0.15,"31",106,288,239,82.9861111111111,263.5,90.7020872865275,0.699679078567874,0,27.2674113109783
0.3,"31",106,288,240,83.3333333333333,263.5,91.0815939278937,0.479171857221202,0,23.1514502860672
0.45,"31",106,288,244,84.7222222222222,263.5,92.5996204933586,0.455206431398629,0,20.0876123950668
0.6,"31",106,288,243,84.375,263.5,92.2201138519924,0.4657012795216,0,18.3517381691411
0.8,"31",106,288,243,84.375,263.5,92.2201138519924,0.486759114758125,0,17.5817861172315
1,"31",106,288,243,84.375,263.5,92.2201138519924,0.515299596634303,0,17.0570660697259
0,"32",58,124,103,83.0645161290323,117.5,87.6595744680851,0.987546953773095,0,79.6014403986198
0.15,"32",58,124,105,84.6774193548387,117.5,89.3617021276596,0.788842290436625,0,72.3387262339241
0.3,"32",58,124,109,87.9032258064516,117.5,92.7659574468085,0.610584595401751,0,63.7381574822438
0.45,"32",58,124,106,85.4838709677419,117.5,90.2127659574468,0.471675105864483,0,57.0157785475744
0.6,"32",58,124,107,86.2903225806452,117.5,91.063829787234,0.494461482252507,0,52.9470591057709
0.8,"32",58,124,106,85.4838709677419,117.5,90.2127659574468,0.548245560023061,0,49.6939695409921
1,"32",58,124,106,85.4838709677419,117.5,90.2127659574468,0.595466358854466,0,49.4530372987278
