"region","lon","lat"
"14006",-104.081893037177,20.5410817924166
"14007",-104.006167889642,20.8108689486524
"14008",-102.300563163546,20.7666060678131
"14009",-103.681985892116,20.7568428822129
"14010",-103.732109016837,20.1717946916582
"14011",-104.273179825075,20.3183845245244
"14012",-104.549909096158,20.3360170686741
"14013",-102.540256144441,20.5466182933997
"14014",-103.470817472084,19.997205957015
"14015",-104.313461145364,19.7439697703547
"14016",-102.342812923121,20.489169397742
"14017",-104.434422036997,20.0495189933172
"14018",-102.524515887838,20.3637362334415
"14019",-103.921120200186,21.8737929278258
"14020",-105.405994145483,20.3422710539943
"14021",-104.471526760979,19.6029423748951
"14022",-104.613759374423,19.2778566178235
"14023",-103.508770042158,19.7118967495685
"14024",-103.825040346446,20.3878831689002
"14025",-103.28662582024,22.092825762918
"14026",-103.234775819448,19.9834593663677
"14027",-104.309541658351,19.4360260794863
"14028",-104.509805189672,20.1928918408564
"14029",-103.028108023415,20.9509891627369
"14030",-103.186197207206,20.2600470982296
"14031",-103.659077134926,21.7297654346302
"14032",-103.882045009514,20.0814803102141
"14033",-102.170180507342,20.4471233871018
"14034",-104.081966834654,19.9144523097285
"14035",-102.189863484216,21.5550738011687
"14036",-104.123459154794,20.7437307305132
"14037",-104.196457406436,19.8042460769722
"14038",-104.421386941756,20.6778418814843
"14039",-103.335965877568,20.676223986706
"14040",-104.075101898265,21.0573703190259
"14041",-103.233684222671,22.3187968264055
"14042",-103.915079229751,22.5838206733962
"14043",-104.86238524745,19.5140051069342
"14044",-103.205446642306,20.3904741543058
"14045",-103.227359585286,20.8992003812657
"14046",-102.489370964405,21.1910295690563
"14047",-102.68727885575,20.278876132726
"14048",-102.119209089195,20.6348896413512
"14049",-102.880004393213,19.3293464085699
"14050",-103.416050123878,20.3134012414797
"14051",-103.134096010047,20.482653650274
"14052",-104.036510451954,20.0541801999987
"14053",-101.878951589555,21.4934692731665
"14054",-104.096245943447,19.8415250795343
"14055",-104.030943443963,20.9078059389058
"14056",-102.839303188803,19.5292463321176
"14057",-103.107293436818,20.0208561109328
"14058",-104.813823250187,20.5789100764178
"14059",-103.072170652811,19.8945222165317
"14060",-102.755461956903,21.264921837286
"14061",-103.996322859878,22.2220690067103
"14062",-104.451402149821,20.5075029306192
"14063",-102.724783289289,20.3965383726053
"14064",-101.71572961733,21.8104883228425
"14065",-103.381734519207,19.1459654274299
"14066",-102.893390541927,20.2700748714439
"14067",-105.148976911107,20.6990937980404
"14068",-104.72420825747,19.8072759561237
"14069",-102.867466972033,19.8057077911763
"14070",-103.244439931091,20.5383923315085
"14071",-103.50146717495,21.0484224735217
